site,T1,T2,T3
1,-0.057,0,0.0016
10,-0.0625,0,0.002
11,0.2941,-0.0758,0
12,0.2028,-0.0121,0
13,0.1491,-0.2442,0
14,0,-0.1194,0.0099
15,0,-0.0364,0.073
16,0.1912,-0.027,0
17,0.0633,0,-0.1517
18,0,0.0165,-0.0929
19,0,0.0435,-0.0981
2,0,-0.1413,0.0113
20,0.0971,-0.0497,0
21,0.2129,-0.0497,0
22,0.1614,0,-0.0081
23,0.0251,-0.0599,0
25,0.0531,-0.1222,0
26,0.1168,0,-0.0744
27,0.1578,-0.0694,0
28,0,0.1138,-0.0429
29,0.1143,0,-0.0045
3,0.0206,-0.0926,0
30,0.0178,-0.1314,0
31,0.2036,0,-0.0041
32,0.2382,0,-0.029
33,0.1799,-0.0583,0
35,0.09,0,-0.0194
36,0.1491,0,-0.0171
37,0.103,0,-0.124
38,0.0381,0,-0.1856
39,0,-0.1395,0.0099
4,0,-0.1246,0.0469
40,0.1235,-0.1637,0
41,0.0639,0,-0.0956
44,0.1817,-0.0064,0
45,0.1145,-0.0276,0
46,0.2013,-0.0074,0
47,0.1871,-0.015,0
48,0.0492,0,-0.1599
5,0.1214,-0.0603,0
50,0,-0.0046,0.0743
51,0,-0.0639,0.0307
52,0.1006,-0.0991,0
53,0.1062,-0.0253,0
54,0.0529,-0.0724,0
55,0,-0.0041,0.1709
6,0.4363,-0.0576,0
7,0.0068,0,-0.1456
8,0.1446,-0.0778,0
