site,date,T4_prop,arh_prop,T4_mean,T4_min,T4_max,arh_mean,arh_min,arh_max,probl,logger
1,2019-07-10,100,100,7.033333333333333,4.6,10,76.23333333333333,63.2,87.8,0,a
1,2019-07-11,100,100,7.941666666666666,3.8,13.3,67.14166666666667,51.3,84.2,0,a
1,2019-07-12,100,100,8.991666666666667,3.9,17.1,65.54166666666667,40.6,87.2,0,a
1,2019-07-13,100,100,6.383333333333334,4.7,8.1,91.325,86.8,94.7,0,a
1,2019-07-14,100,100,7.058333333333334,5.8,8.7,86.45833333333333,74.3,95.6,0,a
1,2019-07-15,100,100,8.908333333333333,5.1,11.7,75.575,63.6,91.9,0,a
1,2019-07-16,100,100,9.15,5.4,14.4,76.825,57.1,90.2,0,a
1,2019-07-17,100,100,8.641666666666667,5.8,11.5,81.65,68.8,94.4,0,a
1,2019-07-18,100,100,10.441666666666666,7,12.5,87,79,95.5,0,a
1,2019-07-19,100,100,10.825,10.1,12.1,96.45833333333333,95.8,97.2,0,a
1,2019-07-20,100,100,13.65,7.9,22,81.31666666666666,55.4,97.8,0,a
1,2019-07-21,100,100,16.791666666666668,8.5,28.2,68.09166666666667,35.3,92.8,0,a
1,2019-07-22,100,100,19.158333333333335,10.7,28.8,60.225,35,86.6,0,a
1,2019-07-23,100,100,19.658333333333335,13,28.2,60.666666666666664,36,81.5,0,a
1,2019-07-24,100,100,20.416666666666668,12.3,31.5,59.03333333333333,33.3,84.5,0,a
1,2019-07-25,100,100,19.741666666666667,14,25.8,68.76666666666667,50.4,85.5,0,a
1,2019-07-26,100,100,21.925,14.9,31.2,66.225,44.8,88.7,0,a
1,2019-07-27,100,100,17.241666666666667,10.4,27.7,68.74166666666666,38.4,87.7,0,a
1,2019-07-28,100,100,8.258333333333333,4.2,11.5,72.85,60.2,88.6,0,a
1,2019-07-29,100,100,5.975,3.4,9.5,82.05833333333334,66.6,89,0,a
1,2019-07-30,100,100,6.241666666666667,4.5,9.3,79.05,66.4,91.1,0,a
1,2019-07-31,100,100,7.416666666666667,3.6,12.8,79.01666666666667,61.5,90.7,0,a
1,2019-08-01,100,100,7.841666666666667,5.9,10.1,85.55,75,92.4,0,a
1,2019-08-02,100,100,6.633333333333334,4.4,10.4,85.43333333333334,69,91.3,0,a
1,2019-08-03,100,100,6.033333333333333,3.5,9,82.20833333333333,70,94,0,a
1,2019-08-04,100,100,5.825,3.9,8.2,79.175,68.3,87.9,0,a
1,2019-08-05,100,100,5.025,3.6,6,92.29166666666667,87.8,95.3,0,a
1,2019-08-06,100,100,7,5.2,9,88.04166666666667,79.5,95,0,a
1,2019-08-07,100,100,8.275,4.8,11.5,82.35,66.9,94.9,0,a
1,2019-08-08,100,100,7.775,2.4,13.4,83.575,63,96.1,0,a
1,2019-08-09,100,100,6.591666666666667,1.4,11,78.875,63.4,91.6,0,a
1,2019-08-10,100,100,8.833333333333334,-0.1,17.7,72.40833333333333,44,96.3,0,a
1,2019-08-11,100,100,13.525,8.9,19.7,63.1,44.8,78.3,0,a
1,2019-08-12,100,100,14.033333333333333,11.5,18,67.89166666666667,53.7,77.3,0,a
1,2019-08-13,100,100,12.674999999999999,10.9,14.5,88.44166666666666,79.3,93.6,0,a
1,2019-08-14,100,100,12.866666666666667,11.4,15.5,91.26666666666667,78.4,95.9,0,a
1,2019-08-15,100,100,11.216666666666667,9.8,12.3,95.575,92.6,97,0,a
1,2019-08-16,100,100,10.55,8.2,13.1,90.13333333333334,79.7,97.3,0,a
1,2019-08-17,100,100,13.766666666666667,8.6,18.2,82.11666666666667,62.1,97.4,0,a
1,2019-08-18,100,100,15.691666666666666,11.6,21,79.19166666666666,52.7,93.7,0,a
1,2019-08-19,100,100,14.433333333333334,9.9,20.4,77.46666666666667,53.8,92.7,0,a
1,2019-08-20,100,100,14.266666666666667,11.7,17.3,79.375,65.2,88.3,0,a
1,2019-08-21,100,100,12.741666666666667,11.1,14.8,85.91666666666667,80.1,91.1,0,a
1,2019-08-22,100,100,12,5,21.2,83.31666666666666,51.3,96.9,0,a
1,2019-08-23,100,100,9.841666666666667,6.5,14.7,83.28333333333333,64.7,95.9,0,a
1,2019-08-24,100,100,7.558333333333334,5.6,9.3,91.68333333333334,82.9,95.6,0,a
1,2019-08-25,100,100,7.975,3.8,10.6,92.06666666666666,79.4,97.5,0,a
1,2019-08-26,100,100,9.883333333333333,6.5,10.9,93.04166666666667,85.2,97.9,0,a
1,2019-08-27,100,100,8.883333333333333,5.3,12.3,91.45833333333333,82.9,96.5,0,a
1,2019-08-28,100,100,15.775,11.8,23.5,85.86666666666667,60.1,97.2,0,a
1,2019-08-29,100,100,15.625,9.8,23.8,84.54166666666666,61,97.8,0,a
