site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
1,2020,366,1,366,231,231,1,2019-10-10,2020-05-27,148,4,34,70,198,178,3,2019-10-10,2020-05-27,148,165,165,1,2019-12-13,2020-05-25,146
1,2021,308,1,309,196,135,4,2020-10-14,2021-05-11,131,10,56,100,72,48,3,2021-01-26,2021-05-11,131,36,27,2,2021-03-15,2021-04-20,110
2,2020,366,1,366,232,232,1,2019-10-11,2020-05-29,150,160,66,74,232,232,1,2019-10-11,2020-05-29,150,204,195,2,2019-11-05,2020-05-27,148
2,2021,307,1,308,203,192,2,2020-10-17,2021-05-16,136,8,60,96,164,112,3,2020-11-12,2021-05-16,136,112,78,3,2020-12-30,2021-05-15,135
3,2020,366,1,366,232,232,1,2019-10-11,2020-05-29,150,26,96,117,228,228,1,2019-10-15,2020-05-29,150,214,214,1,2019-10-28,2020-05-28,149
3,2021,306,1,307,202,193,2,2020-10-18,2021-05-16,136,44,102,157,176,176,1,2020-11-22,2021-05-16,136,108,81,2,2021-01-25,2021-05-16,136
4,2020,366,1,366,240,240,1,2019-10-10,2020-06-05,157,22,66,135,228,228,1,2019-10-22,2020-06-05,157,198,186,2,2019-11-15,2020-06-04,156
4,2021,305,1,306,229,214,2,2020-10-14,2021-05-31,151,20,79,151,187,187,1,2020-11-26,2021-05-31,151,126,126,1,2021-01-25,2021-05-30,150
5,2020,366,1,366,242,242,1,2019-10-08,2020-06-05,157,8,68,87,240,240,1,2019-10-10,2020-06-05,157,198,186,2,2019-11-14,2020-06-05,157
5,2021,309,1,310,226,213,2,2020-10-16,2021-05-30,150,2,48,99,212,200,2,2020-10-17,2021-05-30,150,120,78,2,2021-01-26,2021-05-30,150
6,2020,366,1,366,237,237,1,2019-10-08,2020-05-31,152,114,62,68,222,222,1,2019-10-23,2020-05-31,152,197,167,2,2019-10-28,2020-05-28,149
6,2021,309,1,311,210,195,2,2020-10-14,2021-05-17,137,28,68,118,152,65,5,2020-11-23,2021-05-17,137,74,52,3,2021-01-26,2021-05-15,135
7,2020,366,1,366,210,210,1,2019-11-05,2020-06-01,153,80,8,403,210,210,1,2019-11-05,2020-06-01,153,220,200,2,2019-10-21,2020-05-31,152
7,2021,307,1,308,200,200,1,2020-11-05,2021-05-23,143,42,178,1593,198,198,1,2020-11-07,2021-05-23,143,131,82,4,2020-12-03,2021-05-17,137
8,2020,366,1,366,240,240,1,2019-10-10,2020-06-05,157,8,56,76,236,227,2,2019-10-10,2020-06-05,157,186,186,1,2019-12-03,2020-06-05,157
8,2021,309,1,310,203,192,2,2020-10-17,2021-05-30,150,6,54,120,189,126,2,2020-11-20,2021-05-30,150,114,94,2,2021-01-31,2021-05-29,149
10,2020,366,1,366,232,232,1,2019-10-10,2020-05-28,149,4,42,95,208,197,2,2019-10-28,2020-05-28,149,167,167,1,2019-12-13,2020-05-27,148
10,2021,305,1,306,190,140,4,2020-10-14,2021-05-16,136,18,74,97,103,72,2,2021-01-25,2021-05-16,136,65,52,2,2021-01-26,2021-05-15,135
11,2020,366,1,366,226,226,1,2019-10-17,2020-05-29,150,544,26,85,183,183,1,2019-11-29,2020-05-29,150,175,175,1,2019-12-05,2020-05-27,148
11,2021,304,1,305,193,193,1,2020-11-06,2021-05-17,137,10,52,145,187,187,1,2020-11-12,2021-05-17,137,121,108,2,2020-12-29,2021-05-11,131
12,2020,366,1,366,241,241,1,2019-10-08,2020-06-04,156,8,307,115,238,238,1,2019-10-11,2020-06-04,156,221,221,1,2019-10-28,2020-06-04,156
12,2021,307,1,308,210,196,2,2020-10-15,2021-05-26,146,120,119,129,183,159,2,2020-11-22,2021-05-26,146,186,186,1,2020-11-22,2021-05-26,146
13,2020,319,1,320,237,237,1,2019-10-10,2020-06-02,154,42,44,68,231,231,1,2019-10-16,2020-06-02,154,194,182,2,2019-11-14,2020-06-01,153
14,2020,366,1,366,224,224,1,2019-10-15,2020-05-25,146,0,246,90,211,211,1,2019-10-28,2020-05-25,146,174,174,1,2019-12-03,2020-05-24,145
14,2021,304,1,305,175,175,1,2020-11-19,2021-05-12,132,16,68,155,155,136,2,2020-11-27,2021-05-12,132,97,65,2,2021-01-25,2021-05-09,129
15,2020,366,1,366,234,234,1,2019-10-11,2020-05-31,152,6,66,99,224,185,3,2019-10-12,2020-05-31,152,180,180,1,2019-12-03,2020-05-30,151
15,2021,305,1,306,218,218,1,2020-10-14,2021-05-19,139,16,100,151,168,70,4,2020-11-12,2021-05-19,139,78,64,2,2021-01-26,2021-05-16,136
16,2020,366,1,366,228,228,1,2019-10-18,2020-06-01,153,26,150,97,228,228,1,2019-10-18,2020-06-01,153,217,172,3,2019-10-23,2020-06-01,153
16,2021,307,1,308,206,193,2,2020-10-14,2021-05-16,136,4,104,125,121,56,4,2020-11-19,2021-05-16,136,49,49,1,2021-03-28,2021-05-15,135
17,2020,366,1,366,237,237,1,2019-10-11,2020-06-03,155,2,170,75,237,237,1,2019-10-11,2020-06-03,155,199,186,2,2019-11-14,2020-06-02,154
17,2021,309,1,310,218,207,2,2020-10-17,2021-05-29,149,10,522,83,199,199,1,2020-11-12,2021-05-29,149,120,89,2,2021-01-26,2021-05-26,146
18,2020,366,1,366,246,246,1,2019-10-08,2020-06-09,161,32,74,74,240,231,2,2019-10-10,2020-06-09,161,226,226,1,2019-10-28,2020-06-09,161
18,2021,311,1,312,225,211,2,2020-10-14,2021-06-02,153,12,56,74,196,196,1,2020-11-19,2021-06-02,153,128,128,1,2021-01-26,2021-06-02,153
19,2020,319,1,320,230,230,1,2019-10-15,2020-05-31,152,198,78,66,222,222,1,2019-10-23,2020-05-31,152,203,118,4,2019-10-26,2020-05-30,151
20,2020,366,1,366,229,229,1,2019-10-11,2020-05-26,147,106,84,90,217,217,1,2019-10-23,2020-05-26,147,175,175,1,2019-12-02,2020-05-24,145
20,2021,305,1,306,188,175,2,2020-10-14,2021-05-12,132,20,82,170,107,75,2,2021-01-25,2021-05-12,132,98,74,2,2021-01-26,2021-05-11,131
21,2020,366,1,366,228,228,1,2019-10-10,2020-05-24,145,90,52,76,215,215,1,2019-10-23,2020-05-24,145,204,193,2,2019-10-28,2020-05-24,145
21,2021,311,1,312,186,167,3,2020-10-18,2021-05-03,123,6,76,148,163,62,4,2020-11-12,2021-05-02,122,63,38,3,2020-11-27,2021-04-19,109
22,2020,366,1,366,212,212,1,2019-11-04,2020-06-02,154,402,60,50,208,186,2,2019-11-04,2020-06-02,154,196,146,3,2019-10-26,2020-05-31,152
22,2021,308,1,309,163,163,1,2020-12-13,2021-05-24,144,20,34,94,163,163,1,2020-12-13,2021-05-24,144,133,117,2,2020-11-22,2021-05-20,140
23,2020,366,1,366,230,230,1,2019-10-11,2020-05-27,148,10,54,84,222,222,1,2019-10-19,2020-05-27,148,202,180,2,2019-11-04,2020-05-27,148
23,2021,305,1,306,200,178,3,2020-10-16,2021-05-15,135,36,66,110,162,144,2,2020-12-03,2021-05-15,135,103,60,2,2021-01-25,2021-05-12,132
25,2020,366,1,366,234,234,1,2019-10-12,2020-06-01,153,10,206,76,234,234,1,2019-10-12,2020-06-01,153,218,218,1,2019-10-28,2020-06-01,153
25,2021,307,1,308,210,201,2,2020-10-18,2021-05-18,138,6,50,98,180,180,1,2020-11-20,2021-05-18,138,115,81,4,2020-11-27,2021-05-18,138
26,2020,366,1,366,240,240,1,2019-10-10,2020-06-05,157,70,64,103,235,235,1,2019-10-15,2020-06-05,157,207,186,3,2019-10-30,2020-06-04,156
26,2021,305,1,306,228,228,1,2020-10-14,2021-05-29,149,12,74,121,195,125,2,2020-11-12,2021-05-29,149,120,120,1,2021-01-26,2021-05-25,145
27,2020,366,1,366,224,224,1,2019-10-15,2020-05-25,146,54,58,99,217,217,1,2019-10-22,2020-05-25,146,210,175,2,2019-10-23,2020-05-25,146
27,2021,306,1,307,207,198,2,2020-10-18,2021-05-16,136,216,56,137,176,176,1,2020-11-22,2021-05-16,136,125,113,2,2020-12-29,2021-05-15,135
28,2020,366,1,366,228,228,1,2019-10-11,2020-05-25,146,58,78,64,216,216,1,2019-10-23,2020-05-25,146,164,164,1,2019-12-13,2020-05-24,145
28,2021,306,1,307,195,174,3,2020-10-17,2021-05-11,131,16,82,118,119,107,2,2020-12-29,2021-05-11,131,68,44,2,2021-01-26,2021-04-26,116
29,2020,366,1,366,229,229,1,2019-10-11,2020-05-26,147,0,190,74,212,212,1,2019-10-28,2020-05-26,147,189,177,2,2019-11-14,2020-05-24,145
29,2021,304,1,305,201,181,3,2020-10-18,2021-05-18,138,12,28,98,167,167,1,2020-12-03,2021-05-18,138,113,113,1,2021-01-25,2021-05-17,137
30,2020,366,1,366,230,230,1,2019-10-11,2020-05-27,148,8,72,103,176,176,1,2019-12-04,2020-05-27,148,166,166,1,2019-12-13,2020-05-26,147
30,2021,305,1,306,209,194,2,2020-10-14,2021-05-16,136,20,110,133,132,81,2,2020-12-29,2021-05-16,136,53,53,1,2021-03-25,2021-05-16,136
31,2020,366,1,366,232,232,1,2019-10-08,2020-05-26,147,6,56,72,206,113,4,2019-10-21,2020-05-26,147,149,79,5,2019-12-01,2020-05-24,145
