site,date,T1_prop,T2_prop,T3_prop,moist_prop,T1_mean,T1_min,T1_max,T2_mean,T2_min,T2_max,T3_mean,T3_min,T3_max,moist_mean,moist_min,moist_max,probl
1,2019-07-10,100,100,100,100,7.122604166666666,6.68,7.56,7.3103125,5.5,11.25,7.0821875,4.62,12.37,16.8,16.4,17,0
1,2019-07-11,100,100,100,100,6.956979166666667,6.18,8.06,7.696458333333333,4.56,16.31,7.925,3.75,18.56,16.890625,16.6,17.2,0
1,2019-07-12,100,100,100,100,6.919479166666666,6.06,8.12,7.898333333333333,4.38,17.25,8.709270833333333,3.75,21.31,16.59375,16.2,16.9,0
1,2019-07-13,100,100,100,100,6.736666666666666,6.31,7.12,6.7629166666666665,5.19,8.31,6.435520833333333,4.62,8.37,16.479166666666668,16.3,16.6,0
1,2019-07-14,100,100,100,100,6.671666666666667,6.43,6.93,6.959583333333334,5.88,8.12,6.845729166666667,5.12,8.62,16.620833333333334,16.5,16.7,0
1,2019-07-15,100,100,100,100,6.867708333333333,6.31,7.43,7.814479166666667,5.25,10.25,8.349270833333334,4.44,12.5,16.45625,16.2,16.6,0
1,2019-07-16,100,100,100,100,7.103854166666666,6.43,7.74,8.1775,5.44,11.69,8.75375,4.5,15,16.096875,15.8,16.3,0
1,2019-07-17,100,100,100,100,7.095729166666667,6.56,7.62,8.065520833333334,6,11.12,8.372916666666667,5.62,12.87,15.801041666666666,15.5,15.9,0
1,2019-07-18,100,100,100,100,7.301666666666667,6.74,7.68,8.622708333333334,5.88,10.5,9.8228125,5.25,12.75,15.610416666666667,15.3,19.3,0
1,2019-07-19,100,100,100,100,7.79875,7.56,7.99,9.040416666666667,8.44,9.88,10.311979166666667,9.37,11.94,24.42395833333333,20.5,25.9,0
1,2019-07-20,100,100,100,100,8.351666666666667,7.56,9.43,10.772291666666666,7.62,17.5,12.492916666666666,7.31,22.25,22.101041666666667,21.1,23.1,0
1,2019-07-21,100,100,100,100,8.913125,8.06,10.06,11.953020833333333,8,23,15.127604166666666,7.75,31.37,20.521875,19.7,21.1,0
1,2019-07-22,100,100,100,100,9.6875,8.68,11.18,13.615416666666667,9.38,24.31,17.3309375,9.62,33.5,19.241666666666667,18.5,19.7,0
1,2019-07-23,100,100,100,100,10.1696875,9.43,11.31,13.697604166666666,10.81,22.81,17.54375,11.62,33.87,18.082291666666666,17.5,18.6,0
1,2019-07-24,100,100,100,100,10.48375,9.68,11.43,14.1128125,10.69,20.25,18.144479166666667,11.12,30.81,17.194791666666667,16.7,17.5,0
1,2019-07-25,100,100,100,100,11.0253125,10.31,12.18,14.90125,11.81,22.25,18.53625,12.81,30.12,16.408333333333335,15.9,16.7,0
1,2019-07-26,100,100,100,100,11.61,10.68,12.93,16.116875,12.62,24.12,20.377604166666668,13.75,32.5,15.661458333333334,15.1,15.9,0
1,2019-07-27,100,100,100,100,11.4584375,10.93,12.56,14.267291666666667,9.75,23.62,16.436041666666668,8.75,34.37,14.90625,14.5,15.1,0
1,2019-07-28,100,100,100,100,9.712916666666667,8.99,10.87,9.027708333333333,4.81,16,8.570625,3.12,17.75,14.502083333333333,14.2,14.7,0
1,2019-07-29,100,100,100,100,8.170729166666666,7.68,8.93,6.6803125,4.38,11.38,5.936145833333334,2.87,12.62,14.546875,14.2,14.8,0
1,2019-07-30,100,100,100,100,7.7794791666666665,7.31,8.43,6.876041666666667,4.81,11.88,6.3309375,3.87,12.69,14.539583333333333,14.3,14.7,0
1,2019-07-31,100,100,100,100,7.50875,6.68,8.56,7.381458333333334,4.25,14.44,7.4175,3.5,17.37,14.340625,14,14.6,0
