site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2019,7,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7096774193548387,8.43,12.93,6.06,9.28,7.78,9.9,24.31,4.25,15.74,7.07,11.22,34.37,2.87,20.16,6.69,2.55,0.15,16.5,17,25.9,14,185.45,185.45,185.45,0,22,22,22,0,217.75,217.75,217.75,0,22,22,22,0,246.85,246.85,246.85,0,22,22,22,0
1,2019,8,1,1,1,1,8.32,11.68,4.68,9.1,7.68,9.5,20.44,0.5,13.46,6.64,10.16,25.69,-0.75,15.78,6.2,2.02,0.18,10.7,11.1,18.8,7.5,257.94,257.94,257.94,0,31,31,31,0,294.43,294.43,294.43,0,31,31,31,0,315.04,315.04,310.1,0,31,31,30,0
1,2019,9,1,1,1,1,6.35,11.93,2.62,6.94,5.77,5.88,20.25,-1.25,8.81,3.59,5.85,25.12,-3.63,10.5,2.64,5.79,0.33,19.4,17.4,28.8,7.4,190.42,181.72,155.66,0,30,27,20,0,176.58,166.53,148.75,-0.09,29,21,17,1,176.88,168.22,155.3,-1.43,27,20,17,3
1,2019,10,1,1,1,0.6129032258064516,1.62,5.43,0.31,1.77,1.48,-0.34,5.38,-4,0.15,-0.94,-1.66,5.12,-9.88,-0.54,-3.12,1.65,0.07,23.5,23.9,28.9,21.3,50.18,8.52,5.01,0,31,2,1,0,8.16,3.71,0,-18.76,8,1,0,23,5.39,3.03,0,-56.87,4,1,0,27
1,2019,11,1,1,1,0,-0.46,0.31,-1.44,-0.4,-0.53,-2.06,-0.25,-5.31,-1.77,-2.36,-3.9,-0.25,-9.13,-3.22,-4.56,NA,NA,NA,NA,NA,NA,0.41,0,0,-14.26,4,0,0,26,0,0,0,-61.83,0,0,0,30,0,0,0,-116.97,0,0,0,30
1,2019,12,1,1,1,0,-0.44,-0.32,-0.82,-0.41,-0.46,-1.1,-0.56,-2.94,-0.99,-1.21,-2,-0.94,-6.38,-1.77,-2.27,NA,NA,NA,NA,NA,NA,0,0,0,-13.52,0,0,0,31,0,0,0,-33.95,0,0,0,31,0,0,0,-61.94,0,0,0,31
1,2020,1,1,1,1,0,-0.47,-0.32,-1.19,-0.44,-0.49,-1.15,-0.56,-2.5,-1.08,-1.22,-2.11,-0.88,-4.38,-1.97,-2.26,NA,NA,NA,NA,NA,NA,0,0,0,-14.45,0,0,0,31,0,0,0,-35.6,0,0,0,31,0,0,0,-65.26,0,0,0,31
1,2020,2,1,1,1,0,-0.84,-0.44,-1.44,-0.81,-0.86,-1.41,-0.62,-2.62,-1.33,-1.47,-2.18,-0.94,-4.13,-2.06,-2.31,NA,NA,NA,NA,NA,NA,0,0,0,-24.35,0,0,0,29,0,0,0,-40.75,0,0,0,29,0,0,0,-63.28,0,0,0,29
1,2020,3,1,1,1,0,-0.64,-0.38,-1.07,-0.62,-0.67,-1.01,-0.38,-1.88,-0.95,-1.06,-1.56,-0.56,-3.06,-1.47,-1.66,NA,NA,NA,NA,NA,NA,0,0,0,-19.85,0,0,0,31,0,0,0,-31.17,0,0,0,31,0,0,0,-48.35,0,0,0,31
1,2020,4,1,1,1,0,-0.4,-0.26,-0.69,-0.39,-0.41,-0.54,-0.25,-1.12,-0.5,-0.56,-0.79,-0.25,-1.88,-0.72,-0.84,NA,NA,NA,NA,NA,NA,0,0,0,-11.99,0,0,0,30,0,0,0,-16.07,0,0,0,30,0,0,0,-23.85,0,0,0,30
